<<<<<<< HEAD
date,/m/0m7pl
2020-10-14,36
2020-10-15,0
2020-10-16,27
2020-10-17,0
2020-10-18,31
=======
date,/m/0m7pl,isPartial
2020-03-01,0,False
2020-03-02,0,False
2020-03-03,0,False
2020-03-04,0,False
2020-03-05,0,False
2020-03-06,26,False
2020-03-07,30,False
2020-03-08,0,False
2020-03-09,0,False
2020-03-10,0,False
2020-03-11,0,False
2020-03-12,27,False
2020-03-13,0,False
2020-03-14,0,False
2020-03-15,0,False
2020-03-16,24,False
2020-03-17,24,False
2020-03-18,26,False
2020-03-19,40,False
2020-03-20,51,False
2020-03-21,74,False
2020-03-22,100,False
2020-03-23,92,False
2020-03-24,75,False
2020-03-25,49,False
2020-03-26,0,False
2020-03-27,24,False
2020-03-28,29,False
2020-03-29,0,False
2020-03-30,0,False
2020-03-31,36,False
2020-04-01,25,False
2020-04-02,0,False
2020-04-03,25,False
2020-04-04,0,False
2020-04-05,0,False
2020-04-06,24,False
2020-04-07,24,False
2020-04-08,0,False
2020-04-09,27,False
2020-04-10,0,False
2020-04-11,82,False
2020-04-12,28,False
2020-04-13,26,False
2020-04-14,0,False
2020-04-15,0,False
2020-04-16,25,False
2020-04-17,0,False
2020-04-18,0,False
2020-04-19,0,False
2020-04-20,23,False
2020-04-21,23,False
2020-04-22,24,False
2020-04-23,24,False
2020-04-24,0,False
2020-04-25,0,False
2020-04-26,0,False
2020-04-27,23,False
2020-04-28,0,False
2020-04-29,0,False
2020-04-30,0,False
2020-05-01,0,False
2020-05-02,50,False
2020-05-03,28,False
2020-05-04,24,False
2020-05-05,0,False
2020-05-06,49,False
2020-05-07,0,False
2020-05-08,0,False
2020-05-09,26,False
2020-05-10,0,False
2020-05-11,46,False
2020-05-12,25,False
2020-05-13,0,False
2020-05-14,25,False
2020-05-15,0,False
2020-05-16,30,False
2020-05-17,0,False
2020-05-18,0,False
2020-05-19,26,False
2020-05-20,0,False
2020-05-21,30,False
2020-05-22,0,False
2020-05-23,29,False
2020-05-24,32,False
2020-05-25,0,False
2020-05-26,0,False
2020-05-27,0,False
2020-05-28,25,False
2020-05-29,0,False
2020-05-30,31,False
2020-05-31,0,False
2020-06-01,0,False
2020-06-02,0,False
2020-06-03,0,False
2020-06-04,0,False
2020-06-05,0,False
2020-06-06,0,False
2020-06-07,0,False
2020-06-08,0,False
2020-06-09,0,False
2020-06-10,26,False
2020-06-11,0,False
2020-06-12,0,False
2020-06-13,0,False
2020-06-14,0,False
2020-06-15,0,False
2020-06-16,0,False
2020-06-17,0,False
2020-06-18,0,False
2020-06-19,0,False
2020-06-20,0,False
2020-06-21,0,False
2020-06-22,0,False
2020-06-23,0,False
2020-06-24,31,False
2020-06-25,0,False
2020-06-26,0,False
2020-06-27,0,False
2020-06-28,0,False
2020-06-29,0,False
2020-06-30,0,False
2020-07-01,0,False
2020-07-02,0,False
2020-07-03,0,False
2020-07-04,0,False
2020-07-05,0,False
2020-07-06,0,False
2020-07-07,0,False
2020-07-08,0,False
2020-07-09,0,False
2020-07-10,0,False
2020-07-11,0,False
2020-07-12,0,False
2020-07-13,0,False
2020-07-14,0,False
2020-07-15,0,False
2020-07-16,34,False
2020-07-17,0,False
2020-07-18,0,False
2020-07-19,0,False
2020-07-20,0,False
2020-07-21,0,False
2020-07-22,0,False
2020-07-23,0,False
2020-07-24,0,False
2020-07-25,40,False
2020-07-26,39,False
2020-07-27,0,False
2020-07-28,0,False
2020-07-29,0,False
2020-07-30,0,False
2020-07-31,34,False
2020-08-01,39,False
2020-08-02,0,False
2020-08-03,0,False
2020-08-04,0,False
2020-08-05,0,False
2020-08-06,0,False
2020-08-07,35,False
2020-08-08,0,False
2020-08-09,0,False
2020-08-10,0,False
2020-08-11,0,False
2020-08-12,0,False
2020-08-13,33,False
2020-08-14,0,False
2020-08-15,0,False
2020-08-16,0,False
2020-08-17,0,False
2020-08-18,0,False
2020-08-19,0,False
2020-08-20,0,False
2020-08-21,0,False
2020-08-22,38,False
2020-08-23,0,False
2020-08-24,0,False
2020-08-25,0,False
2020-08-26,32,False
2020-08-27,0,False
2020-08-28,32,False
2020-08-29,0,False
2020-08-30,0,False
2020-08-31,0,False
2020-09-01,0,False
2020-09-02,0,False
2020-09-03,33,False
2020-09-04,0,False
2020-09-05,0,False
2020-09-06,34,False
2020-09-07,63,False
2020-09-08,0,False
2020-09-09,31,False
2020-09-10,64,False
2020-09-11,33,False
2020-09-12,0,False
2020-09-13,35,False
2020-09-14,0,False
2020-09-15,32,False
2020-09-16,31,False
2020-09-17,33,False
2020-09-18,0,False
2020-09-19,34,False
2020-09-20,0,False
2020-09-21,45,False
2020-09-22,30,False
2020-09-23,0,False
2020-09-24,31,False
2020-09-25,0,False
2020-09-26,35,False
2020-09-27,35,False
2020-09-28,0,False
2020-09-29,34,False
2020-09-30,32,False
2020-10-01,0,False
2020-10-02,0,False
2020-10-03,34,False
2020-10-04,0,False
2020-10-05,0,False
2020-10-06,32,False
2020-10-07,32,False
2020-10-08,34,False
2020-10-09,0,False
2020-10-10,38,False
2020-10-11,69,False
2020-10-12,0,False
2020-10-13,34,False
2020-10-14,0,False
2020-10-15,34,False
2020-10-16,0,False
2020-10-17,39,False
>>>>>>> master
